company_name,domain,segment,persona_side,title_filter,state,category
Westwood Financial,westfin.com,A-center-owner,owner,owner-asset-manager,AZ,
"BIG Shopping Centers USA, Inc.",bigcentersusa.com,A-center-owner,owner,owner-asset-manager,AZ,
Hungry Investments,hungry-inc.com,A-center-owner,owner,owner-asset-manager,AZ,
T-MAC Development Company,tmacdevco.com,A-center-owner,owner,owner-asset-manager,AZ,
"The Hinkson Company, LLC",hinksoncompany.com,A-center-owner,owner,owner-asset-manager,AZ,
GGP RETAIL LLC,ggp.com,A-center-owner,owner,owner-asset-manager,CA,
Katz Kirkpatrick Properties,katzkirkpatrickproperties.com,A-center-owner,owner,owner-asset-manager,CA,
Marketplace Properties,marketplaceproperties.com,A-center-owner,owner,owner-asset-manager,CA,
"Blackpoint Properties, LLC",blackpoint.com,A-center-owner,owner,owner-asset-manager,CA,
TRC,trcretail.com,A-center-owner,owner,owner-asset-manager,CA,
CPi Developers,cpidevelopers.com,A-center-owner,owner,owner-asset-manager,CA,
Brixton Capital,brixtoncapital.com,A-center-owner,owner,owner-asset-manager,CA,
Petrovich Development Company,petrovichdevelopment.com,A-center-owner,owner,owner-asset-manager,CA,
Fit Development,fitdevelopmentco.com,A-center-owner,owner,owner-asset-manager,CA,
ArchiVelopment LLC,archivelopmentllc.com,A-center-owner,owner,owner-asset-manager,CA,
"Centers Dynamic Partners, Inc.",centersdynamicpartners.com,A-center-owner,owner,owner-asset-manager,CA,
Lewis Retail Centers,lewisretailcenters.com,A-center-owner,owner,owner-asset-manager,CA,
Shopoff Realty Investments,retailtherapy.com,A-center-owner,owner,owner-asset-manager,CA,
Brait Fund,braitfund.com,A-center-owner,owner,owner-asset-manager,CA,
Developers Realty Corporation,developers-realty.com,A-center-owner,owner,owner-asset-manager,CT,
Regency Centers,regencycenters.com,A-center-owner,owner,owner-asset-manager,FL,
Sterling Organization,sterlingorganization.com,A-center-owner,owner,owner-asset-manager,FL,
4th Dimension Properties,4d-properties.com,A-center-owner,owner,owner-asset-manager,FL,
DeBartolo Holdings LLC,debartoloholdings.com,A-center-owner,owner,owner-asset-manager,FL,
"Retail West Properties, LLC",retailwest.com,A-center-owner,owner,owner-asset-manager,ID,
