id,name,status,type,leads,sent,opens,replies,bounced,completion
140,"SMTP | FY26, M07 | Flagship Retail | Custom Illuminated Artwork | Professional Emails",draft,outbound,0,0,0,0,0,0
139,"Google | FY26, M07 | Flagship Retail | Custom Illuminated Artwork | Professional Emails",draft,outbound,0,0,0,0,0,0
138,"Microsoft | FY26, M07 | Flagship Retail | Custom Illuminated Artwork | Professional Emails",draft,outbound,0,0,0,0,0,0
137,"SMTP | FY26, M07 | Hotels & Resorts | Custom Illuminated Artwork | Professional Emails",draft,outbound,0,0,0,0,0,0
136,"Google | FY26, M07 | Hotels & Resorts | Custom Illuminated Artwork | Professional Emails",draft,outbound,0,0,0,0,0,0
135,"Microsoft | FY26, M07 | Hotels & Resorts | Custom Illuminated Artwork | Professional Emails",draft,outbound,0,0,0,0,0,0
134,"SMTP | FY26, M05 | Prior Year Interested | Re-engagement | Professional Emails",active,outbound,383,381,0,33,3,66.15
133,"Microsoft | FY26, M05 | Prior Year Interested | Re-engagement | Professional Emails",active,outbound,324,323,0,9,8,70.37
132,"Google | FY26, M05 | Prior Year Interested | Re-engagement | Professional Emails",active,outbound,802,801,0,44,14,55.9
131,"FY26, M05 | Brite Recruiting | Trade Companies | Role Emails | All ESPs",active,outbound,377,617,0,11,12,83.95
130,"FY26, M05 | Brite Recruiting | Trade Companies | Professional Emails | All ESPs",active,outbound,663,664,0,8,3,50.3
129,"Microsoft | FY26, M07 | Lighting Installers | Training Library & Brite Platform Access | Professional Emails",draft,outbound,0,0,0,0,0,0
128,"Google | FY26, M07 | Lighting Installers | Training Library & Brite Platform Access | Professional Emails",draft,outbound,0,0,0,0,0,0
127,"Microsoft | FY26, M07 | Local Retail (Utah) | Storefront Seasonal & Permanent Illumination | Professional Emails",draft,outbound,0,0,0,0,0,0
126,"Google | FY26, M07 | Local Retail (Utah) | Storefront Seasonal & Permanent Illumination | Professional Emails",draft,outbound,0,0,0,0,0,0
125,"SMTP | FY26, M07 | Lighting Installers | Training Library & Brite Platform Access | Professional Emails",draft,outbound,0,0,0,0,0,0
124,"SMTP | FY26, M07 | Local Retail (Utah) | Storefront Seasonal & Permanent Illumination | Professional Emails",draft,outbound,0,0,0,0,0,0
123,"Microsoft | FY26, M07 | Apartments | Multi-Property Holiday Portfolio Program | Professional Emails",draft,outbound,0,0,0,0,0,0
122,"Google | FY26, M07 | Apartments | Multi-Property Holiday Portfolio Program | Professional Emails",draft,outbound,0,0,0,0,0,0
121,"Microsoft | FY26, M07 | Theaters | Producer's Night Gala & Donor Holiday | Professional Emails",draft,outbound,0,0,0,0,0,0
120,"Google | FY26, M07 | Theaters | Producer's Night Gala & Donor Holiday | Professional Emails",draft,outbound,0,0,0,0,0,0
119,"Microsoft | FY26, M07 | Tribes & Reservations | Cultural Festival & Holiday Activation | Professional Emails",draft,outbound,0,0,0,0,0,0
118,"Google | FY26, M07 | Tribes & Reservations | Cultural Festival & Holiday Activation | Professional Emails",draft,outbound,0,0,0,0,0,0
117,"Microsoft | FY26, M07 | Historic Sites | Heritage Week & Holiday Tourism Driver | Professional Emails",draft,outbound,0,0,0,0,0,0
116,"Google | FY26, M07 | Historic Sites | Heritage Week & Holiday Tourism Driver | Professional Emails",draft,outbound,0,0,0,0,0,0
114,"SMTP | FY26, M07 | Apartments | Multi-Property Holiday Portfolio Program | Professional Emails",draft,outbound,0,0,0,0,0,0
113,"SMTP | FY26, M07 | Theaters | Producer's Night Gala & Donor Holiday | Professional Emails",draft,outbound,0,0,0,0,0,0
112,"SMTP | FY26, M07 | Tribes & Reservations | Cultural Festival & Holiday Activation | Professional Emails",draft,outbound,0,0,0,0,0,0
111,"SMTP | FY26, M07 | Historic Sites | Heritage Week & Holiday Tourism Driver | Professional Emails",draft,outbound,0,0,0,0,0,0
108,"FY26, M07 | Amusement Parks | Winter Holiday Takeover | Professional Emails",draft,outbound,0,0,0,0,0,0
101,"SMTP | FY26, M05 | Shopping Centers | Holiday Foot Traffic & Tenant Retention | Professional Emails ",completed,outbound,547,1070,0,29,3,100
99,"Microsoft | FY26, M05 | Shopping Centers | Holiday Foot Traffic & Tenant Retention | Professional Emails",completed,outbound,1249,2429,0,5,69,100
100,"SMTP | FY26, M05 | Ski Resorts | Night-Time Event & Wedding Venue | Professional Emails ",active,outbound,270,269,0,3,0,50.28
97,"Google | FY26, M05 | Shopping Centers | Holiday Foot Traffic & Tenant Retention | Professional Emails ",completed,outbound,75,146,0,6,0,100
98,"Microsoft | FY26, M05 | Ski Resorts | Night-Time Event & Wedding Venue | Professional Emails",completed,outbound,346,688,0,5,2,100
96,"Google | FY26, M05 | Ski Resorts | Night-Time Event & Wedding Venue | Professional Emails",completed,outbound,39,73,0,6,0,100
95,"SMTP | FY26, M05 | Casinos | Collaborative Creative Partner | Professional Emails ",active,outbound,815,1070,0,22,1,66.38
94,"Microsoft | FY26, M05 | Casinos | Collaborative Creative Partner | Professional Emails",active,outbound,721,1070,0,1,2,74.31
93,"SMTP | FY26, M05 | Corporate Campuses | Year-End Campus Warmth | Professional Emails ",draft,outbound,0,0,0,0,0,0
91,"Google | FY26, M05 | Casinos | Collaborative Creative Partner | Professional Emails",draft,outbound,32,0,0,0,0,0
92,"SMTP | FY26, M05 | Auto Dealerships | Year-End Sales Visibility | Professional Emails ",completed,outbound,1730,3423,0,32,20,100
89,"SMTP | FY26, M05 | Sports Stadiums | Holiday & Off-Season Activation | Professional Emails ",draft,outbound,133,0,0,0,0,0
90,"Microsoft | FY26, M05 | Corporate Campuses | Year-End Campus Warmth | Professional Emails",draft,outbound,0,0,0,0,0,0
88,"Microsoft | FY26, M05 | Auto Dealerships | Year-End Sales Visibility | Professional Emails ",active,outbound,2513,4987,0,14,28,99.98
87,"Google | FY26, M05 | Corporate Campuses | Year-End Campus Warmth | Professional Emails",draft,outbound,0,0,0,0,0,0
85,"Google | FY26, M05 | Auto Dealerships | Year-End Sales Visibility | Professional Emails",completed,outbound,1066,2102,0,31,4,100
86,"Microsoft | FY26, M05 | Sports Stadiums | Holiday & Off-Season Activation | Professional Emails ",draft,outbound,204,0,0,0,0,0
84,"Google | FY26, M05 | Sports Stadiums | Holiday & Off-Season Activation | Professional Emails ",draft,outbound,20,0,0,0,0,0
73,"FY26, M4 | Aquariums | Professional Emails | All ESPs",completed,outbound,321,585,0,19,3,100
72,"FY26, M4 | Shopping Centers | Professional Emails | All ESPs",paused,outbound,1968,600,0,9,5,15.29
70,"FY26, M4 | Apartments | Professional Emails | All ESPs",active,outbound,1904,1183,0,16,6,31.16
69,"FY26, M4 | Car Dealerships | Professional Emails | All ESPs",paused,outbound,5506,707,0,3,2,6.42
68,"FY26, M4 | Museums & Art Galleries | Professional Emails | All ESPs",active,outbound,2510,4879,0,164,43,99.9
67,"FY26, M4 | Hospitals & Healthcare Facilities | Professional Emails | All ESPs",active,outbound,2094,3588,0,31,25,86.62
66,"FY26, M4 | Amusement Parks | Professional Emails | All ESPs",paused,outbound,209,127,0,0,0,30.38
65,"FY26, M4 | Golf & Country Clubs | Professional Emails | All ESPs",active,outbound,4618,4816,0,62,44,52.61
64,"FY26, M4 | Sports Stadiums | Professional Emails | All ESPs",paused,outbound,518,304,0,4,3,29.49
63,"FY26, M4 | Botanical Gardens | Professional Emails | All ESPs",completed,outbound,271,531,0,17,4,100
62,"FY26, M4 | Zoos | Professional Emails | All ESPs",active,outbound,441,758,0,23,3,87.43
61,"FY26, M4 | Ski Resorts | Professional Emails | All ESPs",paused,outbound,400,378,0,3,1,47.61
60,"FY26, M3 | Hotels Summer Activation | Managers+ (Reverified) | All ESPs",completed,outbound,7513,14597,0,291,267,100
59,"FY26, M3 | Municipalities America 250 | Professional Emails | All ESPs",completed,outbound,706,1369,0,51,16,100
58,"FY26, M3 | Restaurants & Bars America 250 | Role Emails | All ESPs",completed,outbound,1228,2075,0,35,35,100
57,"FY26, M3 | Restaurants & Bars America 250 | Professional Emails | All ESPs",completed,outbound,2127,3794,0,82,40,100
56,"FY26, M3 | Hotels Summer Activation | Managers+ | All ESPs",paused,outbound,7521,1218,0,51,38,8.29
55,Test Campaign (Outbound Sales Operations System) ,completed,outbound,1,1,0,0,0,100
54,"FY26, M3 | Casinos | Professional Emails | All ESPs",paused,outbound,1545,2883,0,75,63,100
53,"FY26, M2 | Municipalities | Professional Emails | All ESPs",paused,outbound,11019,8460,0,442,178,39.71
52,"FY26, M2 | Colleges & Universities | Professional Emails | All ESPs",completed,outbound,4207,7804,0,296,122,100
51,"FY26, M2 | Community Management | Professional Emails | All ESPs",completed,outbound,6141,11650,0,335,186,100
50,"FY26, M5 | 250th Anniversary | Opentable Restaurants | Professional Emails | All ESPs",paused,outbound,2017,2991,0,19,82,76.46
49,"FY26, M5 | Opentable Restaurants | Role Emails | All ESPs",paused,outbound,4697,4544,0,47,172,49.71
48,"FY25, M11 | Casinos | Role Emails | All ESPs",completed,outbound,34,66,0,2,0,100
47,"FY25, M11 | Casinos | Managers+ | Professional Emails | All ESPs",completed,outbound,787,1537,0,25,23,100
46,"FY25, M11 | Car Washes | Professional Emails | All ESPs",draft,outbound,0,0,0,0,0,0
45,"FY25, M11 | Car Washes | Role Emails | All ESPs",completed,outbound,496,944,0,41,13,100
44,"FY25, M11 | Drive-Thru Restaurants | Role Emails | All ESPs",draft,outbound,48,0,0,0,0,0
43,"FY25, M11 | Drive-Thru Restaurants | Professional Emails | All ESPs",draft,outbound,0,0,0,0,0,0
42,"FY25, M11 | Community Management | Professional Emails | All ESPs",completed,outbound,7744,15061,0,507,135,100
41,"FY25, M11 | Community Management | Role Emails | All ESPs",draft,outbound,0,0,0,0,0,0
40,"FY25, M11 | Restaurants & Bars | Role Emails | All ESPs",paused,outbound,13055,19722,0,822,272,80.79
39,"FY25, M11 | Restaurants & Bars | Professional Emails | All ESPs | Direct Question Offer",completed,outbound,6373,12363,0,290,201,100
38,"FY25, M11 | Apartments | Role Emails | All ESPs",completed,outbound,3269,6357,0,159,68,100
37,"FY25, M11 | Apartments | Managers+ | Professional Emails | All ESPs",completed,outbound,3678,7179,0,248,20,100
36,"FY25, M11 | Banks | Role Emails | All ESPs",completed,outbound,727,1424,0,25,12,100
35,"FY25, M11 | Banks | Managers+ | Professional Emails | All ESPs",completed,outbound,2014,3912,0,139,35,100
34,"FY25, M11 | Churches | Role Emails | All ESPs",completed,outbound,10414,20330,0,627,125,100
33,"FY25, M11 | Churches | Managers+ | Professional Emails | All ESPs",active,outbound,18976,32256,0,975,185,88.85
32,"FY25, M11 | Colleges & Universities | Role Emails | All ESPs",draft,outbound,0,0,0,0,0,0
31,"FY25, M11 | Colleges & Universities | Managers+ | Professional Emails | All ESPs",draft,outbound,8387,0,0,0,0,0
30,"FY25, M11 | Healthcare Facilities | Role Emails | All ESPs",draft,outbound,0,0,0,0,0,0
29,"FY25, M11 | Healthcare Facilities | Managers+ | Professional Emails | All ESPs",completed,outbound,998,1960,0,36,22,100
28,"FY25, M11 | Luxury Retail Stores | Role Emails | All ESPs",draft,outbound,0,0,0,0,0,0
27,"FY25, M11 | Luxury Retail Stores | Managers+ | Professional Emails | All ESPs",draft,outbound,49,0,0,0,0,0
26,"FY25, M11 | Municipalities | Role Emails | All ESPs",draft,outbound,21,0,0,0,0,0
25,"FY25, M11 | Municipalities | Managers+ | Professional Emails | All ESPs",draft,outbound,217,0,0,0,0,0
24,"FY25, M11 | Museums & Art Galleries | Role Emails | All ESPs",draft,outbound,0,0,0,0,0,0
23,"FY25, M11 | Museums & Art Galleries | Managers+ | Professional Emails | All ESPs",draft,outbound,0,0,0,0,0,0
22,"FY25, M11 | Shopping Centers, Malls, Outlets | Role Emails | All ESPs",draft,outbound,0,0,0,0,0,0
21,"FY25, M11 | Shopping Centers, Malls, Outlets | Managers+ | Professional Emails | All ESPs",completed,outbound,3281,6380,0,163,78,100
16,"FY25, M11 | Car Dealerships | Role Emails | All ESPs",completed,outbound,3463,6809,0,79,65,100
15,"FY25, M11 | Car Dealerships | Managers+ | Professional Emails | All ESPs",active,outbound,52468,35262,0,201,760,34.05
14,"FY25, M10 | Hotels | Managers+ | Professional Emails | All ESPs",completed,outbound,67512,130036,0,3144,3179,100
12,"FY25, M10 | Drive-Thru | Employees | Professional Emails",completed,outbound,2295,4581,0,17,4,100
11,"FY25, M09 | Bars | Managers+ | Professional Emails | All ESPs",completed,outbound,11890,23160,0,556,270,100
10,"FY25, M09 | Bars | Bar Owners, GMs | General Emails",completed,outbound,13678,26670,0,651,275,100
9,"FY25, M09 | Bars Owners, GMs | Personal Emails",archived,outbound,1887,65,0,3,2,100
8,"FY25, M09 | Bars | Bar Owners, GMs | General Emails",archived,outbound,1619,70,0,6,1,100
7,"FY25, M09 | Community Management | Managers+ | Professional Emails | All ESPs",paused,outbound,9240,17717,0,586,365,100
