id,name,status,type,leads,sent,opens,replies,bounced,completion
52,"FY26, M05 | Brite Recruiting | Trade Companies | Personal Emails | All ESPs",active,outbound,373,644,0,5,1,86.79
21,"FY26, M3 | Restaurants & Bars America 250 | Personal Emails | All ESPs",completed,outbound,1233,2433,0,48,4,100
20,Test Campaign (Outbound Sales Operations System),completed,outbound,1,1,0,0,0,100
19,"FY25, M11 | Opentable Restaurants | Personal Emails | All ESPs",archived,outbound,681,0,0,0,0,0
18,"FY25, M11 | Car Washes | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
17,"FY25, M11 | Community Management | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
16,"FY25, M11 | Municipalities | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
15,"FY25, M11 | Apartments | Personal Emails | All ESPs",archived,outbound,295,0,0,0,0,0
14,"FY25, M11 | Colleges & Universities | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
13,"FY25, M11 | Stadiums, Arenas & Sports Complexes | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
12,"FY25, M11 | Healthcare Facilities | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
11,"FY25, M11 | Banks | Personal Emails | All ESPs",archived,outbound,21,0,0,0,0,0
10,"FY25, M11 | Restaurants & Bars | Personal Emails | All ESPs",archived,outbound,151,0,0,0,0,0
9,"FY25, M11 | Drive Thru Restaurants | Personal Emails | All ESPs",archived,outbound,0,0,0,0,0,0
8,"FY25, M11 | Museums & Art Galleries | Personal Emails | All ESPs",archived,outbound,31,0,0,0,0,0
7,"FY25, M11 | Churches | Personal Emails | All ESPs",archived,outbound,8246,0,0,0,0,0
6,"FY25, M11 | Shopping Centers, Malls, Outlets | Personal Emails | All ESPs",archived,outbound,8,0,0,0,0,0
5,"FY25, M11 | Car Dealerships | Personal Emails | All ESPs",archived,outbound,3959,0,0,0,0,0
3,"FY25, M11 | Luxury Retail Stores | Personal Emails | All ESPs",archived,outbound,1,0,0,0,0,0
2,"FY25, M11 | Hotels | Personal Emails | All ESPs",archived,outbound,88,0,0,0,0,0
1,"FY25, M11 | Casinos | Personal Emails | All ESPs",archived,outbound,1,0,0,0,0,0
